name,par_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top1pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alverno College,0.519893954,0.085567387,0.189673619,0.2625198,0.275446761,0.186792433,0.062162965,0.003934006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Community College,0.610463218,0.142885459,0.163640689,0.180660079,0.241838579,0.270975194,0.144102555,0.004575811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarillo College,0.488905797,0.138632126,0.188611013,0.238784565,0.242415276,0.191557021,0.081772336,0.003564248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Career College of Los Angeles, CA",0.318561895,0.157940501,0.257120831,0.257203047,0.238169882,0.089565739,0.029113233,0.001269127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Institute Of Business,0.544485238,0.060357316,0.134773024,0.264023593,0.34348255,0.197363517,0.072371139,0.004757019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Intercontinental University,0.415672904,0.188552258,0.251353449,0.236795625,0.190972915,0.132325753,0.053838957,0.002801711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American International College,0.539727626,0.094457011,0.138697947,0.181842667,0.280273936,0.304728439,0.113308941,7.30E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Musical & Dramatic Academy,0.644483134,0.132140491,0.248305486,0.274592932,0.191587471,0.15337362,0.058772692,0.006080536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American National University,0.369709907,0.196516809,0.308526868,0.340732983,0.125002701,0.029220638,0.011914142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American University ,0.775091677,0.109052541,0.088691442,0.079618198,0.18900142,0.533636399,0.346165803,0.037534749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst College,0.809826901,0.079923434,0.083400653,0.081692341,0.160856911,0.594126661,0.435421225,0.142665723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancilla Domini College,0.552056255,0.138723453,0.203212072,0.273405533,0.244949642,0.139709301,0.026500591,0.002471733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson University of Anderson, IN",0.664967786,0.136575396,0.16158783,0.198589815,0.279839915,0.223407044,0.102193334,0.005822205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson University of Anderson, SC",0.593350396,0.131789962,0.145935974,0.279283578,0.319983128,0.123007358,0.066421153,0.006461776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrews University,0.576327226,0.140839253,0.165563099,0.164596895,0.233117916,0.295882837,0.156376485,0.026903167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelina College,0.416496641,0.16769218,0.23137323,0.252722353,0.202294307,0.14591793,0.068203794,0.004147791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo State University,0.538717774,0.110018577,0.133316642,0.201531876,0.28175691,0.273375995,0.129339005,0.0089533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Maria College,0.655685177,0.075997381,0.115485415,0.201869305,0.318626256,0.288021643,0.120240029,0.005337974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Arundel Community College,0.650631178,0.146379973,0.15011308,0.191438301,0.248805444,0.263263202,0.117756146,0.003143344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope Valley College,0.520847316,0.19717183,0.223723823,0.194165029,0.190633839,0.19430548,0.089978392,0.002196674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthem College And The Bryman School Of Arizona,0.387356224,0.155734751,0.26158107,0.291756395,0.203861014,0.08706677,0.021992096,0.001427393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthem Institute,0.49591278,0.163953537,0.180690081,0.190616731,0.223302578,0.241437074,0.122660076,0.007578391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonelli College,0.389443846,0.171976752,0.317232516,0.320002634,0.13849699,0.052291108,0.010129103,7.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appalachian State University,0.714398152,0.096532001,0.124751559,0.206955133,0.30189736,0.269863947,0.133885084,0.009042297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,0.686997665,0.102583669,0.115025284,0.209535591,0.319726121,0.253129335,0.109870823,0.006948453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arapahoe Community College,0.66375749,0.154069321,0.184170063,0.211597827,0.246874405,0.203288384,0.08668098,0.003360518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia University,0.667812364,0.099916913,0.107975439,0.149730088,0.253479304,0.388898257,0.189409687,0.021890296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argosy University,0.621894396,0.113751186,0.180877138,0.325925331,0.274199965,0.105246381,0.031731556,0.000309815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State And Northern Arizona University And University Of Arizona,0.718523952,0.114566175,0.109318034,0.140064817,0.233989218,0.402061755,0.237494813,0.027932396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Western College,0.389898528,0.142954867,0.199486553,0.27941586,0.230034983,0.148107737,0.060515266,0.001568338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Northeastern College,0.376059053,0.15737417,0.246362492,0.300386985,0.195118136,0.100758218,0.044428624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
