Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,,,,,,,,,,,,,,,
Date extracted: 2016-11-07 16:33:00 +01:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total
2014,Syrian Arab Rep.,Idleb : Mohafazah - Governorate,*,10,,24,22,*,,58,8,17,,20,21,*,,67
2014,Syrian Arab Rep.,Hama : Mohafazah - Governorate,6,9,,16,29,*,,63,5,16,,20,15,*,,59
2014,Syrian Arab Rep.,Al Qunaytirah : Mohafazah - Governorate,0,*,,0,*,0,,*,*,*,,0,*,0,,5
2015,Syrian Arab Rep.,Rural Damascus : Mohafazah - Governorate,,,,,,,,0,,,,,,,,0
2015,Syrian Arab Rep.,Raqqa : Mohafazah - Governorate,*,16,,14,7,*,,42,*,10,,5,9,,,27
2015,Syrian Arab Rep.,Idleb : Mohafazah - Governorate,,5,,5,17,,,27,*,*,,*,21,,,31
2015,Syrian Arab Rep.,Hama : Mohafazah - Governorate,*,7,,8,24,5,,48,5,8,,*,23,5,,45
2015,Syrian Arab Rep.,Dara : Mohafazah - Governorate,9,26,,14,46,*,,98,8,32,,15,26,8,,89
2015,Syrian Arab Rep.,As-Suweida : Mohafazah - Governorate,*,*,,5,11,,,22,*,5,,*,7,*,,20
2015,Syrian Arab Rep.,Al Qunaytirah : Mohafazah - Governorate,,,,,*,,,*,,,,,,,,0
2015,Syrian Arab Rep.,Tartous : Mohafazah - Governorate,24,43,,31,165,15,,278,21,27,,48,143,24,,263
2015,Syrian Arab Rep.,Lattakia : Mohafazah - Governorate,10,22,,31,117,18,,198,21,29,,37,122,14,,223
2015,Syrian Arab Rep.,Homs : Mohafazah - Governorate,22,41,,38,125,6,,232,28,26,,42,115,29,,240
2015,Syrian Arab Rep.,Hassakeh : Mohafazah - Governorate,964,1551,,1492,1570,176,,5753,930,1580,,984,1184,113,,4791
2015,Syrian Arab Rep.,Dayr Az-Zor : Mohafazah - Governorate,31,77,,88,42,*,,239,30,65,,36,36,*,,169
2015,Syrian Arab Rep.,Damascus : Mohafazah - Governorate,611,1322,,1133,4535,557,,8158,671,1337,,1109,4268,822,,8207
2015,Syrian Arab Rep.,Aleppo : Mohafazah - Governorate,28,46,,66,180,9,,329,39,70,,83,172,24,,388
