source,target,value
8,1,21104
8,2,45124
5,3,17381
8,3,3874
26,3,592
8,4,10992
8,6,31936
5,7,10330
26,9,3271
5,10,54015
26,11,131659
5,12,480
8,12,13513
26,12,1474
8,34,1672
26,34,21253
26,13,212809
26,14,585304
8,15,8076
26,16,851284
26,17,16796
5,18,281
8,18,798
26,18,3404
8,19,340
26,19,1311
5,20,1957
8,21,72988
8,22,14374
8,23,13933
8,24,320
26,24,17984
5,25,308
8,25,1287
26,27,585601
8,28,155742
5,29,162
8,29,2409
26,29,3169
8,30,64569
5,31,13913
8,31,834
26,31,3802
5,32,4259
8,33,16684
